2.861	0.338	-1.003
2.861	0.338	-1.002
2.861	0.34	-1.002
2.861	0.339	-1.002
2.861	0.335	-1.004
2.861	0.33	-1.005
2.861	0.324	-1.007
2.862	0.32	-1.008
2.862	0.321	-1.007
2.862	0.325	-1.005
2.863	0.33	-1.003
2.862	0.314	-1.018
2.862	0.32	-1.016
2.862	0.357	-0.988
2.863	0.399	-0.955
2.864	0.461	-0.904
2.865	0.471	-0.894
2.864	0.443	-0.916
2.864	0.398	-0.951
2.863	0.359	-0.98
2.863	0.341	-0.993
2.863	0.333	-0.997
2.863	0.328	-0.999
2.863	0.325	-1
2.863	0.325	-1
2.864	0.334	-0.998
2.864	0.342	-0.995
2.864	0.351	-0.992
2.863	0.354	-0.99
2.863	0.349	-0.992
2.863	0.344	-0.993
